Date,Open,High,Low,Close,Adj Close,Volume
2021-04-06,110.545998,111.400002,110.089500,110.462997,110.462997,35240000
2021-04-07,110.654999,112.224998,110.654999,111.951500,111.951500,24134000
2021-04-08,113.199997,113.589500,112.150497,112.521500,112.521500,28664000
2021-04-09,112.272003,113.698502,111.862999,113.533501,113.533501,26146000
2021-04-12,112.706001,112.844498,111.390999,112.231003,112.231003,25024000
2021-04-13,112.549500,113.173500,112.152496,112.721497,112.721497,25682000
2021-04-14,113.371498,113.371498,111.801003,112.095497,112.095497,21002000
2021-04-15,113.097504,114.800003,112.558502,114.262497,114.262497,29174000
2021-04-16,114.461998,114.711998,113.545998,114.137497,114.137497,26282000
2021-04-19,113.509003,115.204498,113.509003,114.487999,114.487999,30290000
2021-04-20,114.874496,114.949997,112.856003,113.950500,113.950500,22288000
2021-04-21,113.602501,114.000000,112.240997,113.917503,113.917503,23204000
2021-04-22,113.769997,114.444000,112.015999,112.625999,112.625999,24146000
2021-04-23,113.349998,115.306000,113.062500,114.996498,114.996498,29066000
2021-04-26,115.225998,116.226501,114.865997,115.496498,115.496498,32038000
